,agent,model,omega,beta,ll,group,ntrials,exp,prolificID
290,66c7abc47de7196e9cac1014,perceptual,0.04795389529317623,6.049749255180359,98.45902467217788,value,307,FullPilot13,66c7abc47de7196e9cac1014
291,66e58e209ba96e130b779a3a,map,0.5331375122070312,0.616455078125,97.7470518623194,perceptual,301,FullPilot13,66e58e209ba96e130b779a3a
292,66e58e209ba96e130b779a3a,value,0.9961016258224844,74.12237957119942,98.97765642708411,perceptual,301,FullPilot13,66e58e209ba96e130b779a3a
293,66e58e209ba96e130b779a3a,perceptual,0.05351562500000007,6.143798828125,98.55711876813861,perceptual,301,FullPilot13,66e58e209ba96e130b779a3a
294,66ff23b19b9e211878a17f7c,map,0.3013671875,0.0,99.81319397183192,random,288,FullPilot13,66ff23b19b9e211878a17f7c
295,66ff23b19b9e211878a17f7c,value,0.99998779296875,0.0,99.81319397183192,random,288,FullPilot13,66ff23b19b9e211878a17f7c
296,66ff23b19b9e211878a17f7c,perceptual,0.23369140625,0.0,99.81319397183192,random,288,FullPilot13,66ff23b19b9e211878a17f7c
297,65c140b80efce0ed096216e3,map,0.9999999986961483,0.2525368332862854,97.16066202487005,random,298,FullPilot13,65c140b80efce0ed096216e3
298,65c140b80efce0ed096216e3,value,0.99998779296875,0.0,98.42689961111203,random,298,FullPilot13,65c140b80efce0ed096216e3
299,65c140b80efce0ed096216e3,perceptual,0.0016399992822698772,150.26011865622422,97.16123041130976,random,298,FullPilot13,65c140b80efce0ed096216e3
300,669628f0762cf2bfc381c161,map,0.9999999999534338,2.9628247395157814,52.88055175823829,perceptual,288,FullPilot12,669628f0762cf2bfc381c161
301,669628f0762cf2bfc381c161,value,0.99998779296875,0.0,99.81319397183192,perceptual,288,FullPilot12,669628f0762cf2bfc381c161
302,669628f0762cf2bfc381c161,perceptual,0.1732240751385689,17.104612588882446,52.88055196864773,perceptual,288,FullPilot12,669628f0762cf2bfc381c161
303,66d9b86591a5610c3492d5d9,map,0.596405029296875,2.3828125,74.41855845411392,combined,288,FullPilot12,66d9b86591a5610c3492d5d9
304,66d9b86591a5610c3492d5d9,value,0.9985972821712493,467.9797512292862,96.02973956026085,combined,288,FullPilot12,66d9b86591a5610c3492d5d9
305,66d9b86591a5610c3492d5d9,perceptual,0.09013786315917971,14.283447265625,80.07918484641338,combined,288,FullPilot12,66d9b86591a5610c3492d5d9
306,5484d361fdf99b0379939d5b,map,0.457323881983757,5.835325717926025,45.70511631528605,combined,287,FullPilot12,5484d361fdf99b0379939d5b
307,5484d361fdf99b0379939d5b,value,0.8855936169624328,13.75866174697876,82.4600324157753,combined,287,FullPilot12,5484d361fdf99b0379939d5b
308,5484d361fdf99b0379939d5b,perceptual,0.018936157226562556,80.71769714355469,74.61728784226652,combined,287,FullPilot12,5484d361fdf99b0379939d5b
309,66fc60b6f59bcb7d6dba7d4f,map,0.9999999970197677,1.2492835521697998,84.6909913803364,perceptual,288,FullPilot12,66fc60b6f59bcb7d6dba7d4f
310,66fc60b6f59bcb7d6dba7d4f,value,0.99998779296875,0.0,99.81319397183192,perceptual,288,FullPilot12,66fc60b6f59bcb7d6dba7d4f
311,66fc60b6f59bcb7d6dba7d4f,perceptual,0.06924163103103642,17.976317405700684,84.69083454495069,perceptual,288,FullPilot12,66fc60b6f59bcb7d6dba7d4f
312,5eea537ffd89d01283ffac22,map,0.31255264282226564,3.30535888671875,69.90223716483365,combined,288,FullPilot13,5eea537ffd89d01283ffac22
313,5eea537ffd89d01283ffac22,value,0.6210861600935459,5.453750118613243,74.83935834015915,combined,288,FullPilot13,5eea537ffd89d01283ffac22
314,5eea537ffd89d01283ffac22,perceptual,0.1632943563163281,3.7686702609062195,97.01313761520585,combined,288,FullPilot13,5eea537ffd89d01283ffac22
315,5d9cb58ee8783f0019c8bd06,map,0.9166839599609374,2.3974609375,59.61177476786289,perceptual,288,FullPilot12,5d9cb58ee8783f0019c8bd06
316,5d9cb58ee8783f0019c8bd06,value,0.9996945077669807,400.4701681213919,99.67690529767563,perceptual,288,FullPilot12,5d9cb58ee8783f0019c8bd06
317,5d9cb58ee8783f0019c8bd06,perceptual,0.03475710675120358,62.68195778131485,59.799064976519375,perceptual,288,FullPilot12,5d9cb58ee8783f0019c8bd06
318,66ff78d78ef858fc026f7718,map,0.20546441692858936,6.794253289699554,38.31016652726995,combined,288,FullPilot13,66ff78d78ef858fc026f7718
319,66ff78d78ef858fc026f7718,value,0.659059715270996,13.439083099365234,47.04303013049548,combined,288,FullPilot13,66ff78d78ef858fc026f7718
320,66ff78d78ef858fc026f7718,perceptual,0.02888307571411136,16.20952606201172,96.57746714128557,combined,288,FullPilot13,66ff78d78ef858fc026f7718
321,6150fb8383f88eae3e5c795a,map,0.8996768303215503,0.7896681129932404,93.36818438728528,perceptual,287,FullPilot12,6150fb8383f88eae3e5c795a
322,6150fb8383f88eae3e5c795a,value,0.9999551773071289,419.7233581542969,99.80993281962029,perceptual,287,FullPilot12,6150fb8383f88eae3e5c795a
323,6150fb8383f88eae3e5c795a,perceptual,0.13349523544311526,5.289649963378906,93.42188824011528,perceptual,287,FullPilot12,6150fb8383f88eae3e5c795a
324,66e45c30d5be0907ea25a45b,map,0.68775634765625,0.0,99.12004679147198,random,287,FullPilot13,66e45c30d5be0907ea25a45b
325,66e45c30d5be0907ea25a45b,value,0.99998779296875,0.0,99.12004679147198,random,287,FullPilot13,66e45c30d5be0907ea25a45b
326,66e45c30d5be0907ea25a45b,perceptual,0.235888671875,0.0,99.12004679147198,random,287,FullPilot13,66e45c30d5be0907ea25a45b
327,62865e3456c142785cfad2a7,map,0.34307216145098207,1.9899332523345947,104.88231836286087,combined,322,FullPilot12,62865e3456c142785cfad2a7
328,62865e3456c142785cfad2a7,value,0.9961226174607872,310.45991415157914,108.85913732389963,combined,322,FullPilot12,62865e3456c142785cfad2a7
329,62865e3456c142785cfad2a7,perceptual,0.028015964478254385,17.439733147621155,120.84518173420159,combined,322,FullPilot12,62865e3456c142785cfad2a7
330,65e20689e9a511366b03cc13,map,0.740581103041768,0.8570291101932526,197.55636495765046,perceptual,445,FullPilot13,65e20689e9a511366b03cc13
331,65e20689e9a511366b03cc13,value,0.9991294860839843,227.032470703125,208.02521447885385,perceptual,445,FullPilot13,65e20689e9a511366b03cc13
332,65e20689e9a511366b03cc13,perceptual,0.03458738327026373,18.205509185791016,198.28274079059776,perceptual,445,FullPilot13,65e20689e9a511366b03cc13
333,63197f9b80d9c0d22597a837,map,0.8322147205471992,1.594069004058838,82.42173871474299,perceptual,288,FullPilot13,63197f9b80d9c0d22597a837
334,63197f9b80d9c0d22597a837,value,0.999364643926674,318.5511398492963,99.41125964386038,perceptual,288,FullPilot13,63197f9b80d9c0d22597a837
335,63197f9b80d9c0d22597a837,perceptual,0.049772253632545504,26.425676345825195,82.97170202782286,perceptual,288,FullPilot13,63197f9b80d9c0d22597a837
336,66eefcfef4a122e447c654d1,map,0.6835690975189209,4.311809539794922,46.00614728773043,combined,307,FullPilot12,66eefcfef4a122e447c654d1
337,66eefcfef4a122e447c654d1,value,0.7108799934387207,2.1259498596191406,96.0510461092555,combined,307,FullPilot12,66eefcfef4a122e447c654d1
338,66eefcfef4a122e447c654d1,perceptual,0.4796305013354868,5.398100595921278,51.82948507741686,combined,307,FullPilot12,66eefcfef4a122e447c654d1
339,66cbc2627559d53c0e3e4ac4,map,0.2181788126938045,2.6268787682056427,72.29283760345938,combined,288,FullPilot12,66cbc2627559d53c0e3e4ac4
340,66cbc2627559d53c0e3e4ac4,value,0.8114252269268036,10.373071432113647,74.90214571948174,combined,288,FullPilot12,66cbc2627559d53c0e3e4ac4
341,66cbc2627559d53c0e3e4ac4,perceptual,0.03193158060312273,13.106861114501953,97.75538148227888,combined,288,FullPilot12,66cbc2627559d53c0e3e4ac4
342,668180f26a3b162091510589,map,0.32450714111328127,3.47198486328125,64.02919284475956,combined,287,FullPilot12,668180f26a3b162091510589
343,668180f26a3b162091510589,value,0.685384618374519,6.320887794718146,74.34663535707774,combined,287,FullPilot12,668180f26a3b162091510589
344,668180f26a3b162091510589,perceptual,0.11631136499345307,6.620486676692963,91.98310393837906,combined,287,FullPilot12,668180f26a3b162091510589
345,661571d6cc16ee34676734df,map,0.8952428840100765,4.647520184516907,35.422909770135966,perceptual,288,FullPilot13,661571d6cc16ee34676734df
346,661571d6cc16ee34676734df,value,0.9990745544433594,185.1177978515625,99.56951904301222,perceptual,288,FullPilot13,661571d6cc16ee34676734df
347,661571d6cc16ee34676734df,perceptual,0.34374681151239206,11.981654660776258,36.018222087299534,perceptual,288,FullPilot13,661571d6cc16ee34676734df
348,5ee738a018d5a84caa7e0f2a,map,0.6263565870234743,7.0363028440624475,39.62878053070457,combined,287,FullPilot12,5ee738a018d5a84caa7e0f2a
349,5ee738a018d5a84caa7e0f2a,value,0.9980103930458426,372.3783630877733,95.16472685747338,combined,287,FullPilot12,5ee738a018d5a84caa7e0f2a
350,5ee738a018d5a84caa7e0f2a,perceptual,0.20928459167480473,13.457565307617188,55.1021784462438,combined,287,FullPilot12,5ee738a018d5a84caa7e0f2a
